기간,자치구,동,세대,인구,인구,인구,인구,인구,인구,인구,인구,인구,세대당인구,65세이상고령자
기간,자치구,동,세대,합계,합계,합계,한국인,한국인,한국인,외국인,외국인,외국인,세대당인구,65세이상고령자
기간,자치구,동,세대,계,남자,여자,계,남자,여자,계,남자,여자,세대당인구,65세이상고령자
2016,송파구,소계,258382,664946,324087,340859,657831,320557,337274,7115,3530,3585,2.55,71064
2016,송파구,풍납1동,7316,18034,8864,9170,17031,8384,8647,1003,480,523,2.33,2513
2016,송파구,풍납2동,10314,25842,12392,13450,25646,12303,13343,196,89,107,2.49,2840
2016,송파구,거여1동,5572,14774,7531,7243,14652,7484,7168,122,47,75,2.63,1807
2016,송파구,거여2동,7891,19609,9733,9876,19502,9695,9807,107,38,69,2.47,2814
2016,송파구,마천1동,9435,22912,11637,11275,22674,11551,11123,238,86,152,2.4,3550
2016,송파구,마천2동,8501,21128,10743,10385,20926,10677,10249,202,66,136,2.46,3144
2016,송파구,방이1동,5969,16358,8022,8336,16215,7935,8280,143,87,56,2.72,1627
2016,송파구,방이2동,11820,25446,12391,13055,24969,12154,12815,477,237,240,2.11,2604
2016,송파구,오륜동,6005,19714,9618,10096,19698,9607,10091,16,11,5,3.28,1885
2016,송파구,오금동,13760,37069,18307,18762,36792,18159,18633,277,148,129,2.67,4240
2016,송파구,송파1동,11953,26717,12754,13963,26283,12527,13756,434,227,207,2.2,2704
2016,송파구,송파2동,7377,21974,10672,11302,21756,10555,11201,218,117,101,2.95,2236
2016,송파구,석촌동,16281,35420,17178,18242,34624,16783,17841,796,395,401,2.13,3617
2016,송파구,삼전동,15703,33851,16240,17611,33461,16065,17396,390,175,215,2.13,3167
2016,송파구,가락본동,11217,28395,14212,14183,27979,13995,13984,416,217,199,2.49,2787
2016,송파구,가락1동,382,918,466,452,897,450,447,21,16,5,2.35,110
2016,송파구,가락2동,12066,35064,17216,17848,34852,17112,17740,212,104,108,2.89,3143
2016,송파구,문정1동,8333,21660,10685,10975,21460,10597,10863,200,88,112,2.58,2191
2016,송파구,문정2동,10709,24043,11523,12520,23954,11474,12480,89,49,40,2.24,2829
2016,송파구,장지동,13296,35834,17457,18377,35580,17315,18265,254,142,112,2.68,3633
2016,송파구,위례동,5711,17338,8577,8761,17330,8574,8756,8,3,5,3.03,998
2016,송파구,잠실본동,14270,30187,14408,15779,29456,14015,15441,731,393,338,2.06,2963
2016,송파구,잠실4동,10379,30534,14781,15753,30421,14726,15695,113,55,58,2.93,3024
2016,송파구,잠실6동,5947,17689,8417,9272,17596,8363,9233,93,54,39,2.96,2076
2016,송파구,잠실7동,3499,10516,4911,5605,10507,4906,5601,9,5,4,3,1665
2016,송파구,잠실2동,12109,36853,17548,19305,36729,17474,19255,124,74,50,3.03,2668
2016,송파구,잠실3동,12567,37067,17804,19263,36841,17677,19164,226,127,99,2.93,4229
2016,강동구,소계,177460,448471,223081,225390,444168,221118,223050,4303,1963,2340,2.5,53195
2016,강동구,강일동,11438,34356,16758,17598,34201,16688,17513,155,70,85,2.99,3964
2016,강동구,상일동,4670,12755,6380,6375,12668,6340,6328,87,40,47,2.71,1422
2016,강동구,명일1동,8191,23036,11258,11778,22966,11236,11730,70,22,48,2.8,2561
2016,강동구,명일2동,5967,18503,9270,9233,18473,9257,9216,30,13,17,3.1,1772
2016,강동구,고덕1동,5512,16318,8298,8020,16221,8249,7972,97,49,48,2.94,1614
2016,강동구,고덕2동,3776,8674,4617,4057,8601,4588,4013,73,29,44,2.28,1359
