,2008년12월_총인구수,2009년12월_총인구수,2010년12월_총인구수,2011년12월_총인구수,2012년12월_총인구수,2013년12월_총인구수,2014년12월_총인구수,2015년12월_총인구수,2016년12월_총인구수,2017년12월_총인구수,행정구역
6,16266.0,16063.0,16222.0,15815.0,15737.0,15646.0,15504.0,15542.0,15355.0,15077.0,서울특별시 용산구 원효로제2동(1117057000)
7,10680.0,10666.0,11386.0,11373.0,11297.0,11244.0,11110.0,9652.0,9426.0,9467.0,서울특별시 용산구 효창동(1117058000)
8,12656.0,12846.0,13433.0,13311.0,12982.0,12894.0,12842.0,12867.0,12710.0,12635.0,서울특별시 용산구 용문동(1117059000)
9,14550.0,15536.0,16021.0,15518.0,15436.0,15087.0,15034.0,14877.0,14899.0,16533.0,서울특별시 용산구 한강로동(1117062500)
10,27035.0,27209.0,27385.0,27107.0,26984.0,26919.0,26652.0,27711.0,27880.0,27769.0,서울특별시 용산구 이촌제1동(1117063000)
11,10555.0,10442.0,10609.0,10482.0,10316.0,9986.0,9706.0,9570.0,9290.0,9136.0,서울특별시 용산구 이촌제2동(1117064000)
12,8407.0,8184.0,8739.0,8556.0,8417.0,8175.0,7827.0,7473.0,7326.0,7147.0,서울특별시 용산구 이태원제1동(1117065000)
13,11267.0,11080.0,11441.0,11213.0,11014.0,10891.0,10392.0,9876.0,9596.0,9468.0,서울특별시 용산구 이태원제2동(1117066000)
14,22212.0,22398.0,23030.0,23808.0,23389.0,22739.0,22036.0,21621.0,20771.0,20642.0,서울특별시 용산구 한남동(1117068500)
15,11389.0,11349.0,11479.0,14186.0,14080.0,13834.0,13699.0,13668.0,13827.0,13595.0,서울특별시 용산구 서빙고동(1117069000)
16,18623.0,18408.0,18461.0,17825.0,17473.0,17097.0,16691.0,16193.0,15806.0,15365.0,서울특별시 용산구 보광동(1117070000)
1,34151.0,33790.0,34028.0,34084.0,34417.0,33953.0,33498.0,33472.0,33032.0,32435.0,서울특별시 동작구 노량진제1동(1159051000)
2,17220.0,17041.0,16931.0,16235.0,15728.0,15023.0,14523.0,14184.0,13868.0,13562.0,서울특별시 동작구 노량진제2동(1159052000)
3,39081.0,38923.0,39245.0,39070.0,42491.0,46211.0,47070.0,47157.0,46632.0,46586.0,서울특별시 동작구 상도제1동(1159053000)
4,25676.0,25990.0,26659.0,26100.0,25893.0,25770.0,25539.0,24465.0,27365.0,27138.0,서울특별시 동작구 상도제2동(1159054000)
5,24118.0,24558.0,24893.0,24877.0,24719.0,24879.0,24962.0,25077.0,25604.0,25883.0,서울특별시 동작구 상도제3동(1159055000)
6,29871.0,29792.0,30146.0,29913.0,29757.0,29581.0,29643.0,29734.0,30075.0,29946.0,서울특별시 동작구 상도제4동(1159056000)
7,33679.0,32411.0,32549.0,33574.0,35083.0,37283.0,36667.0,33953.0,32959.0,31125.0,서울특별시 동작구 흑석동(1159060500)
8,23108.0,22912.0,23313.0,23250.0,23395.0,23292.0,23018.0,23084.0,23208.0,23204.0,서울특별시 동작구 사당제1동(1159062000)
9,30532.0,30107.0,30280.0,29711.0,29509.0,31083.0,30583.0,30295.0,29528.0,28358.0,서울특별시 동작구 사당제2동(1159063000)
10,25718.0,25386.0,25313.0,25677.0,26139.0,26240.0,25867.0,24513.0,24320.0,24653.0,서울특별시 동작구 사당제3동(1159064000)
11,14721.0,15315.0,15382.0,15213.0,15195.0,14920.0,14869.0,15090.0,14869.0,14768.0,서울특별시 동작구 사당제4동(1159065000)
12,16028.0,15660.0,15806.0,15750.0,15443.0,15194.0,14970.0,13581.0,13248.0,13152.0,서울특별시 동작구 사당제5동(1159065100)
13,39405.0,39235.0,40526.0,40446.0,40415.0,40249.0,39769.0,39880.0,40237.0,40276.0,서울특별시 동작구 대방동(1159066000)
14,26842.0,26678.0,26705.0,26431.0,26146.0,25907.0,25391.0,24934.0,24963.0,24621.0,서울특별시 동작구 신대방제1동(1159067000)
15,20716.0,20122.0,20933.0,21077.0,21161.0,21230.0,21101.0,21222.0,21089.0,20510.0,서울특별시 동작구 신대방제2동(1159068000)
1,27319.0,27185.0,27295.0,26883.0,26468.0,26158.0,25893.0,25678.0,25396.0,25336.0,서울특별시 관악구 보라매동(1162052500)
2,17691.0,17472.0,17296.0,17235.0,16921.0,16619.0,16670.0,17000.0,16856.0,16569.0,서울특별시 관악구 청림동(1162054500)
3,35522.0,35201.0,35301.0,34979.0,34848.0,34497.0,34114.0,34066.0,33786.0,33234.0,서울특별시 관악구 성현동(1162056500)
4,30397.0,30234.0,30095.0,30047.0,29902.0,29534.0,29716.0,29793.0,29943.0,29785.0,서울특별시 관악구 행운동(1162057500)
